Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
205.206,4.101133346557617,0.0,0.0,0.0,0.0,-0.22228273749351501
205.214,4.104516506195068,0.0,0.0,0.0,0.0,-0.22734414041042328
205.25,4.104516506195068,0.0,0.0,0.0,0.0,-0.22734414041042328
205.282,4.104516506195068,0.0,0.0,0.0,0.0,-0.22734414041042328
205.314,4.113907337188721,0.0,0.0,0.0,0.0,-0.24203135073184967
205.35,4.113907337188721,0.0,0.0,0.0,0.0,-0.24203135073184967
205.378,4.113907337188721,0.0,0.0,0.0,0.0,-0.24203135073184967
205.426,4.143484115600586,0.0,0.0,0.0,0.0,-0.26505857706069946
205.458,4.143484115600586,0.0,0.0,0.0,0.0,-0.26505857706069946
205.482,4.143484115600586,0.0,0.0,0.0,0.0,-0.26505857706069946
205.526,4.153100490570068,0.0,0.0,0.0,0.0,-0.2694871127605438
205.55,4.153100490570068,0.0,0.0,0.0,0.0,-0.2694871127605438
205.582,4.153100490570068,0.0,0.0,0.0,0.0,-0.2694871127605438
205.626,4.160192489624023,0.0,0.0,0.0,0.0,-0.2819480001926422
205.65,4.160192489624023,0.0,0.0,0.0,0.0,-0.2819480001926422
205.682,4.1558332443237305,0.0,0.0,0.0,0.0,-0.1265331655740738
205.726,4.1558332443237305,0.0,0.0,0.0,0.0,-0.1265331655740738
205.75,4.1558332443237305,0.0,0.0,0.0,0.0,-0.1265331655740738
205.786,4.163034915924072,0.0,0.0,0.0,0.0,-0.13962416350841522
205.826,4.163034915924072,0.0,0.0,0.0,0.0,-0.13962416350841522
205.858,4.163034915924072,0.0,0.0,0.0,0.0,-0.13962416350841522
205.882,4.159199237823486,0.0,0.0,0.0,0.0,-0.15824298560619354
205.926,4.159199237823486,0.0,0.0,0.0,0.0,-0.15824298560619354
205.954,4.159199237823486,0.0,0.0,0.0,0.0,-0.15824298560619354
205.982,4.165328502655029,0.0,0.0,0.0,0.0,-0.17345252633094788
206.022,4.165328502655029,0.0,0.0,0.0,0.0,-0.17345252633094788
206.05,4.165328502655029,0.0,0.0,0.0,0.0,-0.17345252633094788
206.082,4.175137519836426,0.0,0.0,0.0,0.0,-0.1805511862039566
206.114,4.175137519836426,0.0,0.0,0.0,0.0,-0.1805511862039566
206.15,4.175137519836426,0.0,0.0,0.0,0.0,-0.1805511862039566
206.19,4.170132637023926,0.0,0.0,0.0,0.0,-0.19130448997020721
206.218,4.170132637023926,0.0,0.0,0.0,0.0,-0.19130448997020721
206.25,4.170132637023926,0.0,0.0,0.0,0.0,-0.19130448997020721
206.282,4.170399188995361,0.0,0.0,0.0,0.0,-0.2039249688386917
206.318,4.170399188995361,0.0,0.0,0.0,0.0,-0.2039249688386917
206.358,4.173569202423096,0.0,0.0,0.0,0.0,-0.05312570556998253
206.394,4.181334495544434,0.0,0.0,0.0,0.0,-0.06947216391563416
206.426,4.181334495544434,0.0,0.0,0.0,0.0,-0.06947216391563416
206.446,4.181334495544434,0.0,0.0,0.0,0.0,-0.06947216391563416
206.482,4.168467998504639,0.0,0.0,0.0,0.0,-0.08421878516674042
206.518,4.168467998504639,0.0,0.0,0.0,0.0,-0.08421878516674042
206.558,4.168467998504639,0.0,0.0,0.0,0.0,-0.08421878516674042
206.598,4.1753668785095215,0.0,0.0,0.0,0.0,-0.09208139777183533
206.614,4.1753668785095215,0.0,0.0,0.0,0.0,-0.09208139777183533
206.65,4.1753668785095215,0.0,0.0,0.0,0.0,-0.09208139777183533
206.682,4.177592754364014,0.0,0.0,0.0,0.0,-0.09921340644359589
206.718,4.177592754364014,0.0,0.0,0.0,0.0,-0.09921340644359589
206.75,4.177592754364014,0.0,0.0,0.0,0.0,-0.09921340644359589
206.79,4.170386791229248,0.0,0.0,0.0,0.0,-0.11700931936502457
206.818,4.170386791229248,0.0,0.0,0.0,0.0,-0.11700931936502457
206.858,4.170386791229248,0.0,0.0,0.0,0.0,-0.11700931936502457
206.89,4.1921610832214355,0.0,0.0,0.0,0.0,-0.12135618180036545
206.926,4.1921610832214355,0.0,0.0,0.0,0.0,-0.12135618180036545
206.954,4.1921610832214355,0.0,0.0,0.0,0.0,-0.12135618180036545
206.982,4.1910600662231445,0.0,0.0,0.0,0.0,-0.12623079121112823
207.026,4.170217990875244,0.0,0.0,0.0,0.0,0.02791581302881241
207.05,4.177899360656738,0.0,0.0,0.0,0.0,0.008072419092059135
207.078,4.177899360656738,0.0,0.0,0.0,0.0,0.008072419092059135
207.114,4.177899360656738,0.0,0.0,0.0,0.0,0.008072419092059135
207.15,4.172927379608154,0.0,0.0,0.0,0.0,-0.0040413024835288525
207.182,4.172927379608154,0.0,0.0,0.0,0.0,-0.0040413024835288525
207.226,4.172927379608154,0.0,0.0,0.0,0.0,-0.0040413024835288525
207.258,4.146891117095947,0.0,0.0,0.0,0.0,-0.007078338414430618
207.282,4.146891117095947,0.0,0.0,0.0,0.0,-0.007078338414430618
207.314,4.146891117095947,0.0,0.0,0.0,0.0,-0.007078338414430618
207.35,4.168027400970459,0.0,0.0,0.0,0.0,-0.014258233830332756
207.382,4.168027400970459,0.0,0.0,0.0,0.0,-0.014258233830332756
207.414,4.168027400970459,0.0,0.0,0.0,0.0,-0.014258233830332756
207.458,4.178734302520752,0.0,0.0,0.0,0.0,-0.020994363352656364
207.49,4.178734302520752,0.0,0.0,0.0,0.0,-0.020994363352656364
207.514,4.178734302520752,0.0,0.0,0.0,0.0,-0.020994363352656364
207.546,4.171694278717041,0.0,0.0,0.0,0.0,-0.023827973753213882
207.582,4.171694278717041,0.0,0.0,0.0,0.0,-0.023827973753213882
207.618,4.134921073913574,0.0,0.0,0.0,0.0,0.10297340899705887
207.654,4.134921073913574,0.0,0.0,0.0,0.0,0.10297340899705887
207.686,4.134921073913574,0.0,0.0,0.0,0.0,0.10297340899705887
207.718,4.124443054199219,0.0,0.0,0.0,0.0,0.09629107266664505
207.75,4.124443054199219,0.0,0.0,0.0,0.0,0.09629107266664505
207.782,4.124443054199219,0.0,0.0,0.0,0.0,0.09629107266664505
207.822,4.109101295471191,0.0,0.0,0.0,0.0,0.09534932672977448
207.846,4.109101295471191,0.0,0.0,0.0,0.0,0.09534932672977448
207.886,4.109101295471191,0.0,0.0,0.0,0.0,0.09534932672977448
207.926,4.114222049713135,0.0,0.0,0.0,0.0,0.08570064604282379
207.954,4.114222049713135,0.0,0.0,0.0,0.0,0.08570064604282379
207.99,4.114222049713135,0.0,0.0,0.0,0.0,0.08570064604282379
208.026,4.12648868560791,0.0,0.0,0.0,0.0,0.07430649548768997
208.058,4.12648868560791,0.0,0.0,0.0,0.0,0.07430649548768997
208.086,4.12648868560791,0.0,0.0,0.0,0.0,0.07430649548768997
208.114,4.130946159362793,0.0,0.0,0.0,0.0,0.05889701098203659
208.15,4.130946159362793,0.0,0.0,0.0,0.0,0.05889701098203659
208.19,4.130946159362793,0.0,0.0,0.0,0.0,0.05889701098203659
208.218,4.142263889312744,0.0,0.0,0.0,0.0,0.05409039929509163
208.25,4.142263889312744,0.0,0.0,0.0,0.0,0.05409039929509163
208.29,4.0697245597839355,0.0,0.0,0.0,0.0,0.1678420901298523
208.318,4.071855545043945,0.0,0.0,0.0,0.0,0.1681075394153595
208.35,4.071855545043945,0.0,0.0,0.0,0.0,0.1681075394153595
208.394,4.071855545043945,0.0,0.0,0.0,0.0,0.1681075394153595
208.418,4.048781394958496,0.0,0.0,0.0,0.0,0.16646866500377655
208.458,4.048781394958496,0.0,0.0,0.0,0.0,0.16646866500377655
208.478,4.048781394958496,0.0,0.0,0.0,0.0,0.16646866500377655
208.522,4.063857555389404,0.0,0.0,0.0,0.0,0.1586659699678421
208.554,4.063857555389404,0.0,0.0,0.0,0.0,0.1586659699678421
208.59,4.063857555389404,0.0,0.0,0.0,0.0,0.1586659699678421
208.614,4.044804096221924,0.0,0.0,0.0,0.0,0.14976969361305237
208.65,4.044804096221924,0.0,0.0,0.0,0.0,0.14976969361305237
208.682,4.044804096221924,0.0,0.0,0.0,0.0,0.14976969361305237
208.726,4.048439979553223,0.0,0.0,0.0,0.0,0.14083094894886017
208.754,4.048439979553223,0.0,0.0,0.0,0.0,0.14083094894886017
208.782,4.048439979553223,0.0,0.0,0.0,0.0,0.14083094894886017
208.818,4.100024700164795,0.0,0.0,0.0,0.0,0.12996484339237213
208.85,4.100024700164795,0.0,0.0,0.0,0.0,0.12996484339237213
