Time,time,xPos,yPos,yaw,xVel,yVel,zAngVel
205.17,205.17,48.7983283996582,-84.50435638427734,2.500793695449829,4.089593887329102,0.07367371022701263,-0.19253918528556824
205.21,205.21,48.66598129272461,-84.40806579589844,2.492206335067749,4.0915446281433105,0.08013880252838135,-0.21441803872585297
205.214,205.214,48.652801513671875,-84.39834594726562,2.491297960281372,4.093097686767578,0.05854380875825882,-0.22841745615005493
205.218,205.218,48.63960647583008,-84.38865661621094,2.4905426502227783,4.093045234680176,0.0742969885468483,-0.18813136219978333
205.23,205.23,48.60011672973633,-84.35945129394531,2.488231658935547,4.093989849090576,0.0573296956717968,-0.18704332411289215
205.274,205.274,48.45580291748047,-84.2516098022461,2.4811880588531494,4.094227313995361,0.06671328097581863,-0.1329856514930725
205.278,205.278,48.44274139404297,-84.24172973632812,2.4805173873901367,4.094842433929443,0.05454636737704277,-0.16589626669883728
205.282,205.282,48.42965316772461,-84.23188018798828,2.479870080947876,4.094989776611328,0.0661693662405014,-0.16183312237262726
205.29,205.29,48.40353012084961,-84.21209716796875,2.4786908626556396,4.094758987426758,0.06196233630180359,-0.12219874560832977
205.342,205.342,48.23435974121094,-84.08259582519531,2.4700610637664795,4.098463535308838,0.05536272004246712,-0.17421063780784607
205.346,205.346,48.221378326416016,-84.07258605957031,2.4694600105285645,4.097292423248291,0.06233706325292587,-0.14888733625411987
205.35,205.35,48.20842361450195,-84.06253814697266,2.468801498413086,4.097900390625,0.05236383154988289,-0.16527102887630463
205.358,205.358,48.18250274658203,-84.0424575805664,2.467416763305664,4.0986552238464355,0.05135786160826683,-0.1892574280500412
205.378,205.378,48.117835998535156,-83.9920654296875,2.4641575813293457,4.097508430480957,0.055889878422021866,-0.132635235786438
205.386,205.386,48.09199523925781,-83.97185516357422,2.4627227783203125,4.100048542022705,0.06640642881393433,-0.1387520134449005
205.398,205.398,48.05329132080078,-83.94145965576172,2.4606199264526367,4.102221488952637,0.05665964633226395,-0.1845792829990387
205.438,205.438,47.92462921142578,-83.83955383300781,2.4537346363067627,4.105997562408447,0.06096896156668663,-0.2216937392950058
205.442,205.442,47.911781311035156,-83.82933044433594,2.4532649517059326,4.103367805480957,0.06635888665914536,-0.11603125929832458
205.45,205.45,47.8861198425293,-83.80882263183594,2.451859951019287,4.10471773147583,0.06110434979200363,-0.11518639326095581
205.458,205.458,47.860504150390625,-83.78826904296875,2.4504666328430176,4.10270881652832,0.0666947290301323,-0.12717026472091675
205.478,205.478,47.79655456542969,-83.73674774169922,2.4468462467193604,4.106274127960205,0.06979887187480927,-0.1920761615037918
205.482,205.482,47.78379821777344,-83.72638702392578,2.446200370788574,4.107016086578369,0.05481143668293953,-0.15737475454807281
205.486,205.486,47.77101516723633,-83.71605682373047,2.4454421997070312,4.107694625854492,0.06830044090747833,-0.19219817221164703
205.49,205.49,47.75827407836914,-83.70568084716797,2.4447977542877197,4.10856294631958,0.05470825731754303,-0.15947355329990387
205.498,205.498,47.732757568359375,-83.6849365234375,2.4433438777923584,4.1106648445129395,0.054361581802368164,-0.16014207899570465
205.542,205.542,47.592769622802734,-83.56993103027344,2.43519926071167,4.12211275100708,0.06805214285850525,-0.20205684006214142
205.546,205.546,47.58008575439453,-83.55937957763672,2.4345405101776123,4.123049736022949,0.053735315799713135,-0.16204476356506348
205.55,205.55,47.567378997802734,-83.54886627197266,2.4337384700775146,4.123868465423584,0.06856987625360489,-0.20274044573307037
205.574,205.574,47.491336822509766,-83.48536682128906,2.4293107986450195,4.130003929138184,0.06843598932027817,-0.20310872793197632
205.582,205.582,47.466033935546875,-83.46410369873047,2.427901268005371,4.130296230316162,0.060122471302747726,-0.17315147817134857
205.586,205.586,47.45338439941406,-83.45346069335938,2.42710280418396,4.134260654449463,0.06097221374511719,-0.19743569195270538
205.59,205.59,47.44072341918945,-83.44281768798828,2.426363945007324,4.133477210998535,0.06565690785646439,-0.1860274076461792
