Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0020852088928222656,0.0,0.0,0.0,0.0,0.0,0.0
0.0020895004272460938,0.0,0.0,0.0,0.0,0.0,0.0
0.002159595489501953,0.0,0.0,0.0,0.0,0.0,0.0
0.0028753280639648438,0.0,0.0,0.0,0.0,0.0,0.0
0.003483295440673828,0.0,0.0,0.0,0.0,0.0,0.0
0.0038940906524658203,0.0,0.0,0.0,0.0,0.0,0.0
0.07952094078063965,0.0,0.0,0.0,0.0,0.0,0.0
0.07980704307556152,0.0,0.0,0.0,0.0,0.0,0.0
0.08043599128723145,0.0,0.0,0.0,0.0,0.0,0.0
0.08057832717895508,0.0,0.0,0.0,0.0,0.0,0.0
0.08097219467163086,0.0,0.0,0.0,0.0,0.0,0.0
0.08380532264709473,0.0,0.0,0.0,0.0,0.0,0.0
0.08413219451904297,0.0,0.0,0.0,0.0,0.0,0.0
0.08445906639099121,0.0,0.0,0.0,0.0,0.0,0.0
0.08469796180725098,0.0,0.0,0.0,0.0,0.0,0.0
0.08755874633789062,0.0,0.0,0.0,0.0,0.0,0.0
0.12878775596618652,0.0,0.0,0.0,0.0,0.0,0.0
0.12878990173339844,0.0,0.0,0.0,0.0,0.0,0.0
0.12879204750061035,0.0,0.0,0.0,0.0,0.0,0.0
0.16349267959594727,0.0,0.0,0.0,0.0,0.0,0.0
0.21312808990478516,0.0,0.0,0.0,0.0,0.0,0.0
0.2598230838775635,0.0,0.0,0.0,0.0,0.0,0.0
0.2838289737701416,0.0,0.0,0.0,0.0,0.0,0.0
0.3398163318634033,0.0,0.0,0.0,0.0,0.0,0.0
0.3877134323120117,0.0,0.0,0.0,0.0,0.0,0.0
0.43767857551574707,0.0,0.0,0.0,0.0,0.0,0.0
0.48783016204833984,0.0,0.0,0.0,0.0,0.0,0.0
0.5079772472381592,0.0,0.0,0.0,0.0,0.0,0.0
0.5299515724182129,0.0,0.0,0.0,0.0,0.0,0.0
