Time,time,xPos,yPos,yaw,xVel,yVel,zAngVel
90.606,90.606,-0.09142906963825226,-0.031035970896482468,0.0033208501990884542,-0.0019004081841558218,-2.8983595257159323e-05,0.0005499806720763445
90.634,90.634,-0.09144492447376251,-0.03104226663708687,0.0033177093137055635,-0.000990798813290894,-0.0008499430259689689,-0.001691533369012177
90.638,90.638,-0.09145508706569672,-0.03105364553630352,0.0033229365944862366,-0.0020721848122775555,-0.0010704138549044728,0.00042042488348670304
90.642,90.642,-0.09146077930927277,-0.03104856237769127,0.0033157970756292343,-0.0010175410425290465,-0.00026335546863265336,-0.0017013591714203358
90.662,90.662,-0.09148232638835907,-0.03104977309703827,0.003335447981953621,-0.001834558555856347,-0.0013689860934391618,0.001721826964057982
90.69,90.69,-0.09149818122386932,-0.03105606883764267,0.003334954846650362,-0.0008585149771533906,-0.0005870719323866069,-0.0019120839424431324
90.694,90.694,-0.09150834381580353,-0.03106744773685932,0.0033398026134818792,-0.0018939668079838157,-0.0007912690634839237,0.000360468722647056
90.698,90.698,-0.09151403605937958,-0.03106236457824707,0.0033396619837731123,-0.0008547119796276093,9.600244084140286e-05,-0.0006945171626284719
90.706,90.706,-0.09151403605937958,-0.03106236457824707,0.003337390022352338,-0.0009891735389828682,-0.000536955485586077,-0.0020079868845641613
90.734,90.734,-0.09153558313846588,-0.03106357716023922,0.00335587072186172,-0.0018072770908474922,-0.0005198243306949735,0.0028429231606423855
90.738,90.738,-0.09153558313846588,-0.03106357716023922,0.0033442452549934387,-0.0010039188200607896,-0.0009408644982613623,-0.002347290515899658
90.742,90.742,-0.09154574573040009,-0.031074954196810722,0.0033598439767956734,-0.001962714595720172,-0.0009958898881450295,0.0019698371179401875
90.746,90.746,-0.09154574573040009,-0.031074954196810722,0.0033444310538470745,-0.0009823146974667907,-0.0007214040379039943,-0.0025614185724407434
90.754,90.754,-0.09155143797397614,-0.03106987103819847,0.0033434205688536167,-0.0009920296724885702,-0.0008206500206142664,-0.0019544451497495174
