Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
88.53,0.0,0.0,0.0,0.0,0.0,0.0
88.558,0.0,0.0,0.0,0.0,0.0,0.0
88.59,0.0,0.0,0.0,0.0,0.0,0.0
88.634,0.0,0.0,0.0,0.0,0.0,0.0
88.658,0.0,0.0,0.0,0.0,0.0,0.0
88.69,0.0,0.0,0.0,0.0,0.0,0.0
88.738,0.0,0.0,0.0,0.0,0.0,0.0
88.758,0.0,0.0,0.0,0.0,0.0,0.0
88.79,0.0,0.0,0.0,0.0,0.0,0.0
88.838,0.0,0.0,0.0,0.0,0.0,0.0
88.858,0.0,0.0,0.0,0.0,0.0,0.0
88.89,0.0,0.0,0.0,0.0,0.0,0.0
88.938,0.0,0.0,0.0,0.0,0.0,0.0
88.958,0.0,0.0,0.0,0.0,0.0,0.0
88.99,0.0,0.0,0.0,0.0,0.0,0.0
89.038,0.0,0.0,0.0,0.0,0.0,0.0
89.058,0.0,0.0,0.0,0.0,0.0,0.0
89.09,0.0,0.0,0.0,0.0,0.0,0.0
89.134,0.0,0.0,0.0,0.0,0.0,0.0
89.158,0.0,0.0,0.0,0.0,0.0,0.0
89.19,0.0,0.0,0.0,0.0,0.0,0.0
89.238,0.0,0.0,0.0,0.0,0.0,0.0
89.258,0.0,0.0,0.0,0.0,0.0,0.0
89.29,0.0,0.0,0.0,0.0,0.0,0.0
89.338,0.0,0.0,0.0,0.0,0.0,0.0
89.358,0.0,0.0,0.0,0.0,0.0,0.0
89.39,0.0,0.0,0.0,0.0,0.0,0.0
89.43,0.0,0.0,0.0,0.0,0.0,0.0
89.458,0.0,0.0,0.0,0.0,0.0,0.0
89.49,0.0,0.0,0.0,0.0,0.0,0.0
89.538,0.0,0.0,0.0,0.0,0.0,0.0
89.558,0.0,0.0,0.0,0.0,0.0,0.0
89.59,0.0,0.0,0.0,0.0,0.0,0.0
89.63,0.0,0.0,0.0,0.0,0.0,0.0
89.658,0.0,0.0,0.0,0.0,0.0,0.0
89.69,0.0,0.0,0.0,0.0,0.0,0.0
89.726,0.0,0.0,0.0,0.0,0.0,0.0
89.758,0.0,0.0,0.0,0.0,0.0,0.0
89.79,0.0,0.0,0.0,0.0,0.0,0.0
89.834,0.0,0.0,0.0,0.0,0.0,0.0
89.858,0.0,0.0,0.0,0.0,0.0,0.0
89.89,0.0,0.0,0.0,0.0,0.0,0.0
89.938,0.0,0.0,0.0,0.0,0.0,0.0
89.958,0.0,0.0,0.0,0.0,0.0,0.0
89.99,0.0,0.0,0.0,0.0,0.0,0.0
90.038,0.0,0.0,0.0,0.0,0.0,0.0
90.058,0.0,0.0,0.0,0.0,0.0,0.0
90.09,0.0,0.0,0.0,0.0,0.0,0.0
90.13,0.0,0.0,0.0,0.0,0.0,0.0
90.158,0.0,0.0,0.0,0.0,0.0,0.0
90.19,0.0,0.0,0.0,0.0,0.0,0.0
90.23,0.0,0.0,0.0,0.0,0.0,0.0
90.258,0.0,0.0,0.0,0.0,0.0,0.0
90.29,0.0,0.0,0.0,0.0,0.0,0.0
90.326,0.0,0.0,0.0,0.0,0.0,0.0
90.358,0.0,0.0,0.0,0.0,0.0,0.0
90.386,0.0,0.0,0.0,0.0,0.0,0.0
90.426,0.0,0.0,0.0,0.0,0.0,0.0
90.442,0.0,0.0,0.0,0.0,0.0,0.0
90.49,0.0,0.0,0.0,0.0,0.0,0.0
90.53,0.0,0.0,0.0,0.0,0.0,0.0
90.558,0.0,0.0,0.0,0.0,0.0,0.0
90.586,0.0,0.0,0.0,0.0,0.0,0.0
90.634,0.0,0.0,0.0,0.0,0.0,0.0
90.658,0.0,0.0,0.0,0.0,0.0,0.0
90.69,0.0,0.0,0.0,0.0,0.0,0.0
90.73,0.0,0.0,0.0,0.0,0.0,0.0
90.758,0.0,0.0,0.0,0.0,0.0,0.0
90.79,0.0,0.0,0.0,0.0,0.0,0.0
90.826,0.0,0.0,0.0,0.0,0.0,0.0
90.858,0.0,0.0,0.0,0.0,0.0,0.0
90.89,0.0,0.0,0.0,0.0,0.0,0.0
90.93,0.0,0.0,0.0,0.0,0.0,0.0
90.958,0.0,0.0,0.0,0.0,0.0,0.0
90.99,0.0,0.0,0.0,0.0,0.0,0.0
91.03,0.0,0.0,0.0,0.0,0.0,0.0
91.058,0.0,0.0,0.0,0.0,0.0,0.0
91.09,0.0,0.0,0.0,0.0,0.0,0.0
91.126,0.0,0.0,0.0,0.0,0.0,0.0
91.158,0.0,0.0,0.0,0.0,0.0,0.0
91.19,0.0,0.0,0.0,0.0,0.0,0.0
91.23,0.0,0.0,0.0,0.0,0.0,0.0
91.258,0.0,0.0,0.0,0.0,0.0,0.0
91.29,0.0,0.0,0.0,0.0,0.0,0.0
91.33,0.0,0.0,0.0,0.0,0.0,0.0
91.358,0.0,0.0,0.0,0.0,0.0,0.0
91.39,0.0,0.0,0.0,0.0,0.0,0.0
91.438,0.0,0.0,0.0,0.0,0.0,0.0
91.458,0.0,0.0,0.0,0.0,0.0,0.0
91.49,0.0,0.0,0.0,0.0,0.0,0.0
91.526,0.0,0.0,0.0,0.0,0.0,0.0
91.558,0.0,0.0,0.0,0.0,0.0,0.0
91.59,0.0,0.0,0.0,0.0,0.0,0.0
91.63,0.0,0.0,0.0,0.0,0.0,0.0
91.658,0.0,0.0,0.0,0.0,0.0,0.0
91.69,0.0,0.0,0.0,0.0,0.0,0.0
91.738,0.0,0.0,0.0,0.0,0.0,0.0
91.758,0.0,0.0,0.0,0.0,0.0,0.0
91.79,0.0,0.0,0.0,0.0,0.0,0.0
91.842,0.0,0.0,0.0,0.0,0.0,0.0
91.858,0.0,0.0,0.0,0.0,0.0,0.0
91.89,0.0,0.0,0.0,0.0,0.0,0.0
91.938,0.0,0.0,0.0,0.0,0.0,0.0
91.958,0.0,0.0,0.0,0.0,0.0,0.0
91.99,0.0,0.0,0.0,0.0,0.0,0.0
92.038,0.0,0.0,0.0,0.0,0.0,0.0
92.058,0.0,0.0,0.0,0.0,0.0,0.0
92.09,0.0,0.0,0.0,0.0,0.0,0.0
92.126,0.0,0.0,0.0,0.0,0.0,0.0
92.158,0.0,0.0,0.0,0.0,0.0,0.0
